
JAGDPÄCHTER|lemma idGJ00189.GJ00189 | m.|gram idGJ00189.GJ00189 |
JAGDPFERD|lemma idGJ00190.GJ00190 | n.|gram idGJ00190.GJ00190 |
JAGDPFORTE|lemma idGJ00191.GJ00191 | f.|gram idGJ00191.GJ00191 |
JAGDPLATZ|lemma idGJ00192.GJ00192 | m.|gram idGJ00192.GJ00192 |
JAGDPOLIZEI|lemma idGJ00193.GJ00193 | f.|gram idGJ00193.GJ00193 |
JAGDPOLIZEILICH|lemma idGJ00194.GJ00194 | adj. und adv.|gram idGJ00194.GJ00194 |
JAGDPOSTEN|lemma idGJ00195.GJ00195 | m.|gram idGJ00195.GJ00195 |
JAGDPULVER|lemma idGJ00196.GJ00196 | n.|gram idGJ00196.GJ00196 |
JAGDRATH|lemma idGJ00197.GJ00197 | m.|gram idGJ00197.GJ00197 |
JAGDRAUM|lemma idGJ00198.GJ00198 | m.|gram idGJ00198.GJ00198 |
JAGDRECHT|lemma idGJ00199.GJ00199 | n.|gram idGJ00199.GJ00199 |
JAGDREGAL|lemma idGJ00200.GJ00200 | n.|gram idGJ00200.GJ00200 |
JAGDREVIER|lemma idGJ00201.GJ00201 | n.|gram idGJ00201.GJ00201 |
JAGDRUF|lemma idGJ00202.GJ00202 | m.|gram idGJ00202.GJ00202 |
JAGDRUNDUNG|lemma idGJ00203.GJ00203 | f.|gram idGJ00203.GJ00203 |
JAGDSACHE|lemma idGJ00204.GJ00204 | f.|gram idGJ00204.GJ00204 |
JAGDSATTEL|lemma idGJ00205.GJ00205 | m.|gram idGJ00205.GJ00205 |
JAGDSÄULE|lemma idGJ00206.GJ00206 | f.|gram idGJ00206.GJ00206 |
JAGDSCHEIN|lemma idGJ00207.GJ00207 | m.|gram idGJ00207.GJ00207 |
JAGDSCHIED|lemma idGJ00208.GJ00208 | m.|gram idGJ00208.GJ00208 |
JAGDSCHIFF|lemma idGJ00209.GJ00209 |
JAGDSCHIRM|lemma idGJ00210.GJ00210 | m.|gram idGJ00210.GJ00210 |
JAGDSCHLITTEN|lemma idGJ00211.GJ00211 | m.|gram idGJ00211.GJ00211 |
JAGDSCHLOSZ|lemma idGJ00212.GJ00212 | n.|gram idGJ00212.GJ00212 |
JAGDSCHLUSZ|lemma idGJ00213.GJ00213 | m.|gram idGJ00213.GJ00213 |
JAGDSCHLUSZZEIT|lemma idGJ00214.GJ00214 | f.|gram idGJ00214.GJ00214 |
JAGDSCHMID|lemma idGJ00215.GJ00215 | m.|gram idGJ00215.GJ00215 |
JAGDSCHNEIDER|lemma idGJ00216.GJ00216 | m.|gram idGJ00216.GJ00216 |
JAGDSCHREIBER|lemma idGJ00217.GJ00217 | m.|gram idGJ00217.GJ00217 |
JAGDSCHULE|lemma idGJ00218.GJ00218 | f.|gram idGJ00218.GJ00218 |
JAGDSCHUTZ|lemma idGJ00219.GJ00219 | m.|gram idGJ00219.GJ00219 |
JAGDSECRETÄR|lemma idGJ00220.GJ00220 | m.|gram idGJ00220.GJ00220 |
JAGDSEIL|lemma idGJ00221.GJ00221 | n.|gram idGJ00221.GJ00221 |
JAGDSEILER|lemma idGJ00222.GJ00222 | m.|gram idGJ00222.GJ00222 |
JAGDSPEER|lemma idGJ00223.GJ00223 | m.|gram idGJ00223.GJ00223 |
JAGDSPIESZ|lemma idGJ00224.GJ00224 | m.|gram idGJ00224.GJ00224 |
JAGDSPRACHE|lemma idGJ00225.GJ00225 | f.|gram idGJ00225.GJ00225 |
JAGDSTEIN|lemma idGJ00226.GJ00226 | m.|gram idGJ00226.GJ00226 |
JAGDSTIEFEL|lemma idGJ00227.GJ00227 | m.|gram idGJ00227.GJ00227 |
JAGDSTIMME|lemma idGJ00228.GJ00228 | f.|gram idGJ00228.GJ00228 |
JAGDSTOCK|lemma idGJ00229.GJ00229 | m.|gram idGJ00229.GJ00229 |
JAGDSTRUMPF|lemma idGJ00230.GJ00230 | m.|gram idGJ00230.GJ00230 |
JAGDSTÜCK|lemma idGJ00231.GJ00231 | n.|gram idGJ00231.GJ00231 |
JAGDSUCHT|lemma idGJ00232.GJ00232 | f.|gram idGJ00232.GJ00232 |
JAGDTAG|lemma idGJ00233.GJ00233 | m.|gram idGJ00233.GJ00233 |
JAGDTASCHE|lemma idGJ00234.GJ00234 | f.|gram idGJ00234.GJ00234 |
JAGDTAUFE|lemma idGJ00235.GJ00235 | f.|gram idGJ00235.GJ00235 |
JAGDTÄUFER|lemma idGJ00236.GJ00236 | m.|gram idGJ00236.GJ00236 |
JAGDTEUFEL|lemma idGJ00237.GJ00237 | m.|gram idGJ00237.GJ00237 |
JAGDTHIER|lemma idGJ00238.GJ00238 | n.|gram idGJ00238.GJ00238 |
JAGDTHÜR|lemma idGJ00239.GJ00239 | f.|gram idGJ00239.GJ00239 |
JAGDTUCH|lemma idGJ00240.GJ00240 | n.|gram idGJ00240.GJ00240 |
JAGDÜBUNG|lemma idGJ00241.GJ00241 | f.|gram idGJ00241.GJ00241 |
JAGDUHR|lemma idGJ00242.GJ00242 | f.|gram idGJ00242.GJ00242 |
JAGDUNIFORM|lemma idGJ00243.GJ00243 | f.|gram idGJ00243.GJ00243 |
JAGDVERBAND|lemma idGJ00244.GJ00244 | m.|gram idGJ00244.GJ00244 |
JAGDVERBOT|lemma idGJ00245.GJ00245 | n.|gram idGJ00245.GJ00245 |
JAGDVERGEHEN|lemma idGJ00246.GJ00246 | n.|gram idGJ00246.GJ00246 |
JAGDVERGNÜGEN|lemma idGJ00247.GJ00247 | n.|gram idGJ00247.GJ00247 |
JAGDVERORDNUNG|lemma idGJ00248.GJ00248 | f.|gram idGJ00248.GJ00248 |
