
U|lemma idGU00001.GU00001 |
ÜBERBLÄTTERN|lemma idGU00249.GU00249 | v.|gram idGU00249.GU00249 |
ÜBERBLÄUEN|lemma idGU00250.GU00250 | v.|gram idGU00250.GU00250 |
ÜBERBLECHEN|lemma idGU00251.GU00251 | v.|gram idGU00251.GU00251 |
ÜBERBLEIB|lemma idGU00252.GU00252 | m.|gram idGU00252.GU00252 |
ÜBERBLEIBEN|lemma idGU00253.GU00253 | v.|gram idGU00253.GU00253 |
ÜBERBLEIBLING|lemma idGU00254.GU00254 | n.|gram idGU00254.GU00254 |
ÜBERBLEIBSEL|lemma idGU00255.GU00255 | n.|gram idGU00255.GU00255 |
ÜBERBLEIBUNG|lemma idGU00256.GU00256 | f.|gram idGU00256.GU00256 |
ÜBERBLEICHEN|lemma idGU00257.GU00257 | v.|gram idGU00257.GU00257 |
ÜBERBLENDEN|lemma idGU00258.GU00258 | v.|gram idGU00258.GU00258 |
ÜBERBLICK|lemma idGU00259.GU00259 | m.|gram idGU00259.GU00259 |
ÜBERBLICKEN|lemma idGU00260.GU00260 | v.|gram idGU00260.GU00260 |
ÜBERBLIND|lemma idGU00261.GU00261 | adj.|gram idGU00261.GU00261 |
ÜBERBLITZEN|lemma idGU00262.GU00262 | v.|gram idGU00262.GU00262 |
ÜBERBLÜHEN|lemma idGU00263.GU00263 | v.|gram idGU00263.GU00263 |
ÜBERBLÜMEN|lemma idGU00264.GU00264 | v.|gram idGU00264.GU00264 |
ÜBERBOCHEN|lemma idGU00265.GU00265 |ÜBERBUCHEN|variant idGU00265.GU00265 | v.|gram idGU00265.GU00265 |
ÜBERBOLDERN|lemma idGU00266.GU00266 |ÜBERBOLLERN|variant idGU00266.GU00266 | v.|gram idGU00266.GU00266 |
ÜBERBÖSE|lemma idGU00267.GU00267 | adj.|gram idGU00267.GU00267 |
ÜBERBÖSEN|lemma idGU00268.GU00268 | v.|gram idGU00268.GU00268 |
ÜBERBÖSERN|lemma idGU00269.GU00269 | v.|gram idGU00269.GU00269 |
ÜBERBRAND|lemma idGU00270.GU00270 | m.|gram idGU00270.GU00270 |
ÜBERBRAUCH|lemma idGU00271.GU00271 | m.|gram idGU00271.GU00271 |
ÜBERBRAUCHEN|lemma idGU00272.GU00272 | v.|gram idGU00272.GU00272 |
ÜBERBRAUSEN|lemma idGU00273.GU00273 | v.|gram idGU00273.GU00273 |
