
Z|lemma idGZ00001.GZ00001 |
ZÄHLEN|lemma idGZ00152.GZ00152 | verb.|gram idGZ00152.GZ00152 |
ZAHLENAKUSTIK|lemma idGZ00153.GZ00153 | f.|gram idGZ00153.GZ00153 |
ZAHLENANGABE|lemma idGZ00154.GZ00154 | f.|gram idGZ00154.GZ00154 |
ZAHLENANHÄUFUNG|lemma idGZ00155.GZ00155 | f.|gram idGZ00155.GZ00155 |
ZAHLENARZT|lemma idGZ00156.GZ00156 | m.|gram idGZ00156.GZ00156 |
ZAHLENAUSDRUCK|lemma idGZ00157.GZ00157 | m.|gram idGZ00157.GZ00157 |
ZAHLENBFGRIFF|lemma idGZ00158.GZ00158 | m.|gram idGZ00158.GZ00158 |
ZAHLENBEISPIEL|lemma idGZ00159.GZ00159 | n.|gram idGZ00159.GZ00159 |
ZAHLENBENENNUNG|lemma idGZ00160.GZ00160 | f.|gram idGZ00160.GZ00160 |
ZAHLENBESTIMMUNG|lemma idGZ00161.GZ00161 | f.|gram idGZ00161.GZ00161 |
ZAHLENBEZEICHNUNG|lemma idGZ00162.GZ00162 | f.|gram idGZ00162.GZ00162 |
ZAHLENBRUCH|lemma idGZ00163.GZ00163 | m.|gram idGZ00163.GZ00163 |
ZAHLENDE|lemma idGZ00164.GZ00164 | n.|gram idGZ00164.GZ00164 |
ZAHLENDUNG|lemma idGZ00165.GZ00165 | f.|gram idGZ00165.GZ00165 |
ZAHLENEBENE|lemma idGZ00166.GZ00166 | f.|gram idGZ00166.GZ00166 |
ZAHLENELEMENT|lemma idGZ00167.GZ00167 | n.|gram idGZ00167.GZ00167 |
ZAHLENFIGUR|lemma idGZ00168.GZ00168 | f.|gram idGZ00168.GZ00168 |
ZAHLENFOLGE|lemma idGZ00169.GZ00169 | f.|gram idGZ00169.GZ00169 |
ZAHLENGEBÄUDE|lemma idGZ00170.GZ00170 | n.|gram idGZ00170.GZ00170 |
ZAHLENGEBIET|lemma idGZ00171.GZ00171 | n.|gram idGZ00171.GZ00171 |
ZAHLENGEDÄCHTNIS|lemma idGZ00172.GZ00172 | n.|gram idGZ00172.GZ00172 |
ZAHLENGEHEIMNIS|lemma idGZ00173.GZ00173 | n.|gram idGZ00173.GZ00173 |
ZAHLENGESETZ|lemma idGZ00174.GZ00174 | n.|gram idGZ00174.GZ00174 |
ZAHLENGRÖSZE|lemma idGZ00175.GZ00175 | f.|gram idGZ00175.GZ00175 |
ZAHLENGRUPPE|lemma idGZ00176.GZ00176 | f.|gram idGZ00176.GZ00176 |
ZAHLENHARMONIE|lemma idGZ00177.GZ00177 | f.|gram idGZ00177.GZ00177 |
ZAHLENHEILIGKEIT|lemma idGZ00178.GZ00178 | f.|gram idGZ00178.GZ00178 |
ZAHLENKAMPF|lemma idGZ00179.GZ00179 | m.|gram idGZ00179.GZ00179 |
ZAHLENKÄSTCHEN|lemma idGZ00180.GZ00180 | n.|gram idGZ00180.GZ00180 |
ZAHLENKENNTNIS|lemma idGZ00181.GZ00181 | f.|gram idGZ00181.GZ00181 |
ZAHLENKRAFT|lemma idGZ00182.GZ00182 | f.|gram idGZ00182.GZ00182 |
ZAHLENKUNDE|lemma idGZ00183.GZ00183 | f.|gram idGZ00183.GZ00183 |
ZAHLENKUNST|lemma idGZ00184.GZ00184 | f.|gram idGZ00184.GZ00184 |
ZAHLENLEHRE|lemma idGZ00185.GZ00185 | f.|gram idGZ00185.GZ00185 |
ZAHLENLOS|lemma idGZ00186.GZ00186 | adj.|gram idGZ00186.GZ00186 |
ZAHLENLOTTERIE|lemma idGZ00187.GZ00187 | f.|gram idGZ00187.GZ00187 |
ZAHLENLOTTO|lemma idGZ00188.GZ00188 | n.|gram idGZ00188.GZ00188 |
ZAHLENMAJORITÄT|lemma idGZ00189.GZ00189 | f.|gram idGZ00189.GZ00189 |
ZAHLENMASSE|lemma idGZ00190.GZ00190 | f.|gram idGZ00190.GZ00190 |
ZAHLENMÄSZIG|lemma idGZ00191.GZ00191 | adj.|gram idGZ00191.GZ00191 |
ZAHLENMENGE|lemma idGZ00192.GZ00192 | f.|gram idGZ00192.GZ00192 |
ZAHLENMENSCH|lemma idGZ00193.GZ00193 | m.|gram idGZ00193.GZ00193 |
ZAHLENMYSTIK|lemma idGZ00194.GZ00194 | f.|gram idGZ00194.GZ00194 |
ZAHLENORDNUNG|lemma idGZ00195.GZ00195 | f.|gram idGZ00195.GZ00195 |
ZAHLENPROBLEM|lemma idGZ00196.GZ00196 | n.|gram idGZ00196.GZ00196 |
ZAHLENRECHENKUNST|lemma idGZ00197.GZ00197 | f.|gram idGZ00197.GZ00197 |
ZAHLENRECHNUNG|lemma idGZ00198.GZ00198 | f.|gram idGZ00198.GZ00198 |
ZAHLENREIHE|lemma idGZ00199.GZ00199 | f.|gram idGZ00199.GZ00199 |
ZAHLENSÄULE|lemma idGZ00200.GZ00200 | f.|gram idGZ00200.GZ00200 |
ZAHLENSCHÄTZUNG|lemma idGZ00201.GZ00201 | f.|gram idGZ00201.GZ00201 |
ZAHLENSCHEIBE|lemma idGZ00202.GZ00202 | f.|gram idGZ00202.GZ00202 |
ZAHLENSCHEU|lemma idGZ00203.GZ00203 | adj.|gram idGZ00203.GZ00203 |
ZAHLENSCHREIBEN|lemma idGZ00204.GZ00204 | n.|gram idGZ00204.GZ00204 |
ZAHLENSIGNAL|lemma idGZ00205.GZ00205 | n.|gram idGZ00205.GZ00205 |
ZAHLENSINN|lemma idGZ00206.GZ00206 | m.|gram idGZ00206.GZ00206 |
ZAHLENSPIEL|lemma idGZ00207.GZ00207 | n.|gram idGZ00207.GZ00207 |
ZAHLENSPIELEREI|lemma idGZ00208.GZ00208 | f.|gram idGZ00208.GZ00208 |
ZAHLENSTATISTIK|lemma idGZ00209.GZ00209 | f.|gram idGZ00209.GZ00209 |
ZAHLENSYMBOL|lemma idGZ00210.GZ00210 | n.|gram idGZ00210.GZ00210 |
ZAHLENSYMBOLIK|lemma idGZ00211.GZ00211 | f.|gram idGZ00211.GZ00211 |
ZAHLENSYSTEM|lemma idGZ00212.GZ00212 | n.|gram idGZ00212.GZ00212 |
ZAHLENTALENT|lemma idGZ00213.GZ00213 | n.|gram idGZ00213.GZ00213 |
ZAHLENTHEORIE|lemma idGZ00214.GZ00214 | f.|gram idGZ00214.GZ00214 |
ZAHLENVERHÄLTNIS|lemma idGZ00215.GZ00215 | n.|gram idGZ00215.GZ00215 |
ZAHLENVERWECHSLUNG|lemma idGZ00216.GZ00216 | f.|gram idGZ00216.GZ00216 |
ZAHLENWERTH|lemma idGZ00217.GZ00217 | m.|gram idGZ00217.GZ00217 |
ZAHLER|lemma idGZ00218.GZ00218 | m.|gram idGZ00218.GZ00218 |
ZÄHLER|lemma idGZ00219.GZ00219 | m.|gram idGZ00219.GZ00219 |
ZÄHLERIN|lemma idGZ00220.GZ00220 | f.|gram idGZ00220.GZ00220 |
ZÄHLERWERTH|lemma idGZ00221.GZ00221 | m.|gram idGZ00221.GZ00221 |
ZAHLFÄHIG|lemma idGZ00222.GZ00222 | adj.|gram idGZ00222.GZ00222 |
ZAHLFEIND|lemma idGZ00223.GZ00223 | m.|gram idGZ00223.GZ00223 |
ZAHLFIGUR|lemma idGZ00224.GZ00224 | f.|gram idGZ00224.GZ00224 |
ZAHLFORM|lemma idGZ00225.GZ00225 | f.|gram idGZ00225.GZ00225 |
ZAHLFREI|lemma idGZ00226.GZ00226 | adj.|gram idGZ00226.GZ00226 |
ZAHLFRIST|lemma idGZ00227.GZ00227 | f.|gram idGZ00227.GZ00227 |
ZÄHLGEBIET|lemma idGZ00228.GZ00228 | n.|gram idGZ00228.GZ00228 |
ZAHLGEDICHT|lemma idGZ00229.GZ00229 | n.|gram idGZ00229.GZ00229 |
ZÄHLGELD|lemma idGZ00230.GZ00230 | n.|gram idGZ00230.GZ00230 |
ZÄHLGESCHÄFT|lemma idGZ00231.GZ00231 | n.|gram idGZ00231.GZ00231 |
ZAHLGESETZ|lemma idGZ00232.GZ00232 | n.|gram idGZ00232.GZ00232 |
ZAHLGROSCHEN|lemma idGZ00233.GZ00233 | m.|gram idGZ00233.GZ00233 |
ZAHLGRÖSZE|lemma idGZ00234.GZ00234 | f.|gram idGZ00234.GZ00234 |
ZÄHLGULDEN|lemma idGZ00235.GZ00235 | m.|gram idGZ00235.GZ00235 |
